"artist","track","views","rnk"
"Dave","Clash (feat. Stormzy)","54657115","3"
"Dave Matthews Band","Crash into Me","29145878","1"
"Dave Matthews Band","You & Me","11272803","2"
"Dave Matthews Band","Where Are You Going","10468730","3"
"Dave Stewart","Sweet Dreams (Are Made of This)","763538478","1"
"Dave Stewart","Sweet Dreams (Are Made of This) - Remastered","763538478","1"
"Dave Stewart","Here Comes the Rain Again - Remastered Version","58403256","2"
"Dave Stewart","There Must Be an Angel (Playing With My Heart)","37150373","3"
"David Bisbal","A Partir De Hoy","382932065","1"
"David Bisbal","Si Tú La Quieres","120638769","2"
"David Bisbal","Dígale","106820580","3"
"David Bowie","Space Oddity - 2015 Remaster","109314906","1"
"David Bowie","Life on Mars? - 2015 Remaster","41462565","2"
"David Bowie","Let's Dance - 2018 Remaster","38558686","3"
"David Guetta","Titanium (feat. Sia)","1659258469","1"
"David Guetta","Memories (feat. Kid Cudi)","493000042","2"
"David Guetta","Sexy Bitch (feat. Akon)","218805079","3"
"Davido","Fall","256330519","1"
"Davido","Hayya Hayya (Better Together) - Music from the FIFA World Cup Qatar 2022 Official Soundtrack","91900277","2"
"Davido","Jowo","48872093","3"
"Dawid Podsiad?o","Ma?omiasteczkowy","50484509","1"
"Dawid Podsiad?o","ostatnia nadzieja","42900908","2"
"Dawid Podsiad?o","Pastempomat","37554406","3"
"Daya","Sit Still, Look Pretty","52789030","1"
"Daya","Insomnia","20957081","2"
"Daya","New","9795203","3"
"dazy","Sunroof (feat. Thomas Rhett)","66573172","1"
"dazy","Sunroof","66573172","1"
"dazy","Sunroof (feat. 24kGoldn)","66573172","1"
"dazy","Sunroof (feat. Manuel Turizo)","66573172","1"
"dazy","Tonic Water - dazy Remix","233603","2"
"dazy","Sunroof - Loud Luxury Remix","154888","3"
"De La Ghetto","La Ocasión","793262955","1"
"De La Ghetto","1, 2, 3 (feat. Jason Derulo & De La Ghetto)","787089410","2"
"De La Ghetto","Caile","317814524","3"
"deadmau5","Ghosts 'n' Stuff (feat. Rob Swire)","63166279","1"
"deadmau5","Monophobia","16568314","2"
"deadmau5","Hypnocurrency","4277920","3"
"Dean Lewis","Be Alright","230880235","1"
"Dean Lewis","Waves","154981142","2"
"Dean Lewis","How Do I Say Goodbye","21175707","3"
"Dean Martin","Everybody Loves Somebody","22102364","1"
"Dean Martin","Baby, It's Cold Outside","18287830","2"
"Dean Martin","Let It Snow! Let It Snow! Let It Snow!","13049015","3"
"Death Cab for Cutie","Soul Meets Body","15639061","1"
"Death Cab for Cutie","A Lack of Color","6863444","2"
"Death Cab for Cutie","Transatlanticism","4846896","3"
"Deep Purple","Perfect Strangers","108469771","1"
"Deep Purple","Highway Star","60891226","2"
"Deep Purple","Burn - 2002 Remaster","23323708","3"
"Def Leppard","Hysteria","74169858","1"
"Def Leppard","Love Bites - Remastered 2017","71082856","2"
"Def Leppard","When Love And Hate Collide","28753428","3"
"Deftones","Be Quiet and Drive (Far Away)","36805017","1"
"Deftones","My Own Summer (Shove It)","34336850","2"
"Deftones","Around the Fur","34336850","2"
"Deftones","Change (In the House of Flies)","33943823","3"
"Demi Lovato","Échame La Culpa","2245669049","1"
"Demi Lovato","Solo (feat. Demi Lovato)","961053988","2"
"Demi Lovato","Heart Attack","716125653","3"
"DENNIS","Agora é Tudo Meu","277518719","1"
"DENNIS","Te Prometo","173379044","2"
"DENNIS","Malandramente","109004269","3"
"Denzel Curry","RICKY","29613288","1"
"Denzel Curry","Dynasties & Dystopia (from the series Arcane League of Legends)","12997404","2"
"Denzel Curry","Walkin","9328616","3"
"Depeche Mode","Enjoy the Silence","338084498","1"
"Depeche Mode","Enjoy the Silence - 2006 Remaster","338084498","1"
"Depeche Mode","Personal Jesus - 2006 Remaster","163984626","2"
"Depeche Mode","Personal Jesus - Original Single Version","163984626","2"
"Depeche Mode","Policy of Truth - 2006 Remaster","90937338","3"
"Dermot Kennedy","Paradise (feat. Dermot Kennedy)","66710667","1"
"Dermot Kennedy","Outnumbered","56307585","2"
"Dermot Kennedy","Power Over Me","24492880","3"
"Descemer Bueno","SUBEME LA RADIO (feat. Descemer Bueno & Zion & Lennox)","1447990652","1"
"Descemer Bueno","Nos Fuimos Lejos (feat. El Micha)","74561366","2"
"Descemer Bueno","Camarero","37876109","3"
"Destiny's Child","Say My Name","341811113","1"
"Destiny's Child","Soldier (feat. T.I. & Lil' Wayne)","225592008","2"
"Destiny's Child","Survivor","170649880","3"
"Devi Sri Prasad","Oo Bolega Ya Oo Oo Bolega (From ""Pushpa The Rise Part - 01"")","358451586","1"
"Devi Sri Prasad","Uppenantha","70984677","2"
"Devi Sri Prasad","Boss Party","64110280","3"
"Dewa 19","Roman Picisan","31151827","1"
"Dewa 19","Kangen","29903968","2"
"Dewa 19","Dewi","24737399","3"
"Dhanush","Megham Karukatha","101384490","1"
"Dhanush","Thaai Kelavi (From ""Thiruchitrambalam"")","93382398","2"
"Dhanush","Idhazhin Oram - The Innocence of Love","85915735","3"
"Diana Krall","Just The Way You Are","17823097","1"
"Diana Krall","The Look Of Love","17593079","2"
"Diana Krall","Autumn In New York","2903560","3"
"Diana Ross","I'm Coming Out","13312587","1"
"Diana Ross","Turn Up The Sunshine - From 'Minions: The Rise of Gru' Soundtrack","8312272","2"
"Diana Ross","Upside Down","7709508","3"
"Diddy","Last Night","148816999","1"
"Diddy","Last Night (feat. Keyshia Cole)","148816999","1"
"Diddy","I'll Be Missing You (feat. Faith Evans & 112) - 2014 Remaster","70978409","2"
"Diddy","I Need a Girl (Pt. 1) [feat. Usher & Loon]","39953235","3"
"Dido","Thank You","295349308","1"
"Dido","White Flag","224715106","2"
"Dido","Here With Me","100047712","3"
"Die Ärzte","M&F","17184194","1"
"Die Ärzte","Lasse redn","13075183","2"
"Die Ärzte","Schrei nach Liebe","12431443","3"
"Die drei !!!","81 - Geheimnis im Spukhotel - Teil 09","6639","1"
"Die drei !!!","81 - Geheimnis im Spukhotel - Teil 08","6639","1"
"Die drei !!!","81 - Geheimnis im Spukhotel - Teil 06","6639","1"
"Die drei !!!","81 - Geheimnis im Spukhotel - Teil 05","6639","1"
"Die drei !!!","81 - Geheimnis im Spukhotel - Teil 04","6639","1"
"Die drei !!!","81 - Geheimnis im Spukhotel - Teil 03","6639","1"
"Die drei !!!","81 - Geheimnis im Spukhotel - Teil 02","6639","1"
"Die drei !!!","81 - Geheimnis im Spukhotel - Teil 01","6639","1"
"Die drei !!!","81 - Geheimnis im Spukhotel - Teil 07","6639","1"
"Die drei !!!","81 - Geheimnis im Spukhotel - Teil 10","6639","1"
"Die drei ???","Teil 1 - Das Geheimnis der Geisterinsel","21912","1"
"Die drei ???","Teil 7 - Das Geheimnis der Geisterinsel","21912","1"
"Die drei ???","Teil 15 - Das Geheimnis der Geisterinsel","21912","1"
"Die drei ???","Teil 5 - Das Geheimnis der Geisterinsel","21912","1"
"Die drei ???","Teil 8 - Das Geheimnis der Geisterinsel","21912","1"
"Die drei ???","Teil 3 - Das Geheimnis der Geisterinsel","21912","1"
"Die drei ???","Teil 2 - Das Geheimnis der Geisterinsel","21912","1"
"Die drei ???","Teil 4 - Das Geheimnis der Geisterinsel","21912","1"
"Die drei ???","Teil 23 - Das Geheimnis der Geisterinsel","21912","1"
"Die drei ???","Teil 10 - Das Geheimnis der Geisterinsel","21912","1"
"Die Kita-Frösche","Aramsamsam","94022305","1"
"Die Kita-Frösche","So a schöner Tag (Fliegerlied)","47181465","2"
"Die Kita-Frösche","Tschu Tschu Wa","41472944","3"
"Diego & Victor Hugo","Infarto","0","1"
"Diego & Victor Hugo","Desbloqueado - Ao Vivo","0","1"
"Diego & Victor Hugo","Facas - Ao Vivo","0","1"
"Diego & Victor Hugo","Cheiro e Cabelo - Ao Vivo","0","1"
"Diego & Victor Hugo","Assume a Gente - Ao Vivo","0","1"
"Diego & Victor Hugo","Meio Fio - Ao Vivo","0","1"
"Diego & Victor Hugo","Beijo de Glicose - Ao Vivo","0","1"
"Diego & Victor Hugo","Frequência de Saudade - Ao Vivo","0","1"
"Diego & Victor Hugo","O Alvo (feat. Henrique & Juliano) - Ao Vivo","0","1"
"Diego & Victor Hugo","Sua Escolha","0","1"
"Diego Torres","Un Poquito","228054165","1"
"Diego Torres","Color Esperanza 2020","132308796","2"
"Diego Torres","Color Esperanza","132308796","2"
"Diego Torres","Tratar de Estar Mejor","24700679","3"
"Diego Verdaguer","Tonta","213775013","1"
"Diego Verdaguer","Volveré","133194509","2"
"Diego Verdaguer","Quién De Los Dos Será","126851308","3"
"Dierks Bentley","Drunk On A Plane","117598496","1"
"Dierks Bentley","Somewhere On A Beach","59341411","2"
"Dierks Bentley","What Was I Thinkin'","40834884","3"
"Diljit Dosanjh","Born to Shine","215110720","1"
"Diljit Dosanjh","G.O.A.T.","213393996","2"
"Diljit Dosanjh","Lover","98924837","3"
"Dilsinho","Péssimo Negócio (Ao Vivo)","480389008","1"
"Dilsinho","Baby Me Atende","431861109","2"
"Dilsinho","Pouco a Pouco (Ao Vivo) (feat. Sorriso Maroto)","198416251","3"
"Dimitri Vegas & Like Mike","Instagram","3877674","1"
"Dimitri Vegas & Like Mike","Fuego","3877674","1"
"Dimitri Vegas & Like Mike","Rampage (Free Fire Rampage Theme Song)","3877674","1"
"Dimitri Vegas & Like Mike","Happy Together - Toneshifterz Remix","3877674","1"
"Dimitri Vegas & Like Mike","Because The Night","3877674","1"
"Dimitri Vegas & Like Mike","Get in Trouble (So What)","3877674","1"
"Dimitri Vegas & Like Mike","Feel Your Love","3877674","1"
"Dimitri Vegas & Like Mike","Sweet Caroline","3877674","1"
"Dimitri Vegas & Like Mike","Say My Name","3877674","1"
"Dimitri Vegas & Like Mike","Heaven","3877674","1"
"Dina Rae","You Don't Know Me","129902","1"
"Dina Rae","We Can Have It All","12818","2"
"Dina Rae","U Ain't Fuckin With Us (feat. Sinan Caput)","6337","3"
"Dino James","Wishlist (feat. Kaprila)","63280126","1"
"Dino James","Yaadein","48799241","2"
"Dino James","Unstoppable","41934934","3"
"Diomedes Diaz","Asi Me Hizo Dios","26861826","1"
"Diomedes Diaz","Mi Primera Cana","18453608","2"
"Diomedes Diaz","El Condor Herido","15778778","3"
"Diplo","Where Are Ü Now (with Justin Bieber)","1234561238","1"
"Diplo","Thunderclouds (feat. Sia, Diplo, and Labrinth)","497674212","2"
"Diplo","Genius (feat. Sia, Diplo, and Labrinth)","331493750","3"
"Dire Straits","Walk of Life","264062856","1"
"Dire Straits","Sultans of Swing","216212554","2"
"Dire Straits","Brothers in Arms","155519610","3"
"Disclosure","Latch","422714286","1"
"Disclosure","Talk","309634119","2"
"Disclosure","Omen - Radio Edit","209580388","3"
"Disney","Under the Sea","320120240","1"
"Disney","Part of Your World","239113558","2"
"Disney","If Only","228093498","3"
"Disturbed","The Sound of Silence","875969536","1"
"Disturbed","Down with the Sickness","176591068","2"
"Disturbed","The Vengeful One","122773228","3"
"DIVINE","Apna Time Aayega","268176766","1"
"DIVINE","3:59 AM","190245343","2"
"DIVINE","Sher Aaya Sher","139778300","3"
"Divya Kumar","Kamariya","328320314","1"
"Divya Kumar","Manohari","198976633","2"
"Divya Kumar","Halka Halka (From ""Fanney Khan"")","163550510","3"
"DJ Alex","TU AMOR | E7","43542087","1"
"DJ Alex","Ya No Más","38403169","2"
"DJ Alex","AL RITMO | E2","31489301","3"
"DJ Drama","Wishing","70479108","1"
"DJ Drama","Ain't No Way Around It Remix feat. Future, Big Boi & Young Jeezy","4741031","2"
"DJ Drama","SIR BAUDELAIRE (feat. DJ Drama)","2980127","3"
"DJ Khaled","I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)","1700439080","1"
"DJ Khaled","Wild Thoughts (feat. Rihanna & Bryson Tiller)","1062952236","2"
"DJ Khaled","POPSTAR (feat. Drake)","291378174","3"
"DJ Luian","Báilame - Remix","954777130","1"
"DJ Luian","Sensualidad","897148842","2"
"DJ Luian","La Ocasión","793263116","3"
"DJ Nelson","La Curiosidad","782644735","1"
"DJ Nelson","La Curiosidad (feat. Myke Towers) - Mixed","782644735","1"
"DJ Nelson","Ayer","379134057","2"
"DJ Nelson","Ayer 2 (feat. Dj Nelson, J Balvin, Nicky Jam, Cosculluela)","132365098","3"
"DJ Premier","ooh la la (feat. Greg Nice & DJ Premier)","17778318","1"
"DJ Premier","Le Pido a DIOS","11492153","2"
"DJ Premier","Wave Gods","7219852","3"
"DJ Snake","Lean On","3324834868","1"
"DJ Snake","Taki Taki (feat. Selena Gomez, Ozuna & Cardi B)","2414201716","2"
"DJ Snake","Let Me Love You","1207876791","3"
"Djavan","Um Amor Puro","35810911","1"
"Djavan","Se... (Ao Vivo)","31910079","2"
"Djavan","Flor de Lis","12059360","3"
"DMX","X Gon' Give It To Ya","218041294","1"
"DMX","Ruff Ryders' Anthem - Re-Recorded","196072118","2"
"DMX","Ruff Ryders' Anthem","196072118","2"
"DMX","Party Up","156718264","3"
"Doja Cat","Kiss Me More (feat. SZA)","397956072","1"
"Doja Cat","Need to Know","265043327","2"
"Doja Cat","Streets","224558251","3"
"Dolly Parton","9 to 5","60569943","1"
"Dolly Parton","Islands in the Stream","47877542","2"
"Dolly Parton","There Was Jesus","42219688","3"
"Dominic Fike","3 Nights","44911023","1"
"Dominic Fike","Vampire","4003650","2"
"Dominic Fike","Phone Numbers","2988177","3"
"Don Diablo","Survive (feat. Emeli Sandé, Gucci Mane)","48190289","1"
"Don Diablo","Bad","20668191","2"
"Don Diablo","Levitating (feat. DaBaby) - Don Diablo Remix","3821136","3"
"Don Henley","Sunset Grill","3375692","1"
"Don Henley","The Boys Of Summer","3070329","2"
"Don Henley","Leather and Lace - 2016 Remaster","2546248","3"
"Don McLean","Vincent","61318189","1"
"Don McLean","Crying","5783556","2"
"Don McLean","And I Love You So","5150649","3"
"Don Omar","Virtual Diva","452974132","1"
"Don Omar","Salió El Sol","422346142","2"
"Don Omar","Dile","139072268","3"
"Don Toliver","No Idea","284033349","1"
"Don Toliver","Lemonade (feat. Gunna, Don Toliver & NAV)","188678850","2"
"Don Toliver","After Party","78483083","3"
"Donna Summer","I Feel Love","62679568","1"
"Donna Summer","Hot Stuff - 12"" Version","9394797","2"
"Donna Summer","On The Radio","5234478","3"
"Dove Cameron","Rotten to the Core","429328244","1"
"Dove Cameron","Night Falls","415547653","2"
"Dove Cameron","Ways to Be Wicked","326260482","3"
"Dr. Dre","Still D.R.E.","1233860763","1"
"Dr. Dre","The Next Episode","623064998","2"
"Dr. Dre","I Need A Doctor","482937774","3"
"Drake","God's Plan","1467723572","1"
"Drake","One Dance","169288294","2"
"Drake","WAIT FOR U (feat. Drake & Tems)","91997342","3"
"Dread Mar I","Tu Sin Mi","865653197","1"
"Dread Mar I","Así Fue - En Vivo","719453047","2"
"Dread Mar I","Hoja en Blanco","533874937","3"
"Dropkick Murphys","Rose Tattoo","176349439","1"
"Dropkick Murphys","I'm Shipping Up To Boston","121925310","2"
"Dropkick Murphys","Worker's Song","8471039","3"
"Dua Lipa","New Rules","2809699009","1"
"Dua Lipa","One Kiss (with Dua Lipa)","864857344","2"
"Dua Lipa","IDGAF","803009425","3"
"Duelo","Puño De Diamantes","70210402","1"
"Duelo","Veneno","43707030","2"
"Duelo","Sonrie","35518539","3"
"Duki","GIVENCHY","108306765","1"
"Duki","Malbec","73663020","2"
"Duki","Duki: Bzrp Music Sessions, Vol. 50","67734010","3"
"Dulce María","Sálvame","97290294","1"
"Dulce María","Ser O Parecer","34052838","2"
"Dulce María","Rebelde","12254613","3"
"Duman","Senden Daha Güzel","140945408","1"
"Duman","Her ?eyi Yak","37937031","2"
"Duman","Öyle Dertli","28653306","3"
"Duran Duran","Come Undone","189796018","1"
"Duran Duran","Save a Prayer - Single Version","98965096","2"
"Duran Duran","Save a Prayer - 2009 Remaster","98965096","2"
"Duran Duran","Ordinary World","85219047","3"
"Duster","Stars Will Fall","2275907","1"
"Duster","Orbitron","843912","2"
"Duster","Inside Out","679228","3"
"Dusty Springfield","Son of a Preacher Man","5058542","1"
"Dusty Springfield","The Windmills of Your Mind","3128099","2"
"Dusty Springfield","You Don't Own Me","2787060","3"
"DVRST","Close Eyes","61435852","1"
"DVRST","Close Eyes - Slowed + Reverb","47297902","2"
"DVRST","Dream Space","18680025","3"
"Dwele","Move on Up","53338815","1"
"Dwele","Find A Way","3937557","2"
"Dwele","I Think I Love You","3338501","3"
"Dybbukk","Another Love - Sped Up","11342149","1"
"Dybbukk","The Beach - Instrumental Slow","3269365","2"
"Dybbukk","Star Shopping (Slowed)","60198","3"
"E-40","Big Subwoofer (feat. Snoop Dogg, Ice Cube, E-40 & Too $hort ) - Single Version","29491746","1"
"E-40","I Stand On That","24663182","2"
"E-40","Tell Me When to Go (feat. Keak da Sneak)","21651595","3"
"Eagles","Hotel California - 2013 Remaster","258787217","1"
"Eagles","New Kid in Town - 2013 Remaster","54913481","2"
"Eagles","Desperado - 2013 Remaster","12025531","3"
"Earl Sweatshirt","Hive (feat. Vince Staples & Casey Veggies)","32887948","1"
"Earl Sweatshirt","Chum","23935801","2"
"Earl Sweatshirt","Sunday (feat. Frank Ocean)","2684377","3"
"Earth, Wind & Fire","Let's Groove","641407658","1"
"Earth, Wind & Fire","September","641407658","1"
"Earth, Wind & Fire","Fantasy","641407658","1"
"Earth, Wind & Fire","Beijo (Interlude)","641407658","1"
"Earth, Wind & Fire","In the Stone","641407658","1"
"Earth, Wind & Fire","Fantasy","641407658","1"
"Earth, Wind & Fire","Shining Star","641407658","1"
"Earth, Wind & Fire","September - from DreamWorks Animation's ""TROLLS""","641407658","1"
"Earth, Wind & Fire","After the Love Has Gone","641407658","1"
"Earth, Wind & Fire","Boogie Wonderland","641407658","1"
"Eazy-E","Real Muthaphuckkin' G's","343529035","1"
"Eazy-E","Boyz-N-The-Hood - Remix","33180116","2"
"Eazy-E","Boyz-N-The-Hood","33180116","2"
"Eazy-E","No More ?'s","11589915","3"
"Ebru Günde?","Cennet","67154981","1"
"Ebru Günde?","Söyleyin","58742760","2"
"Ebru Günde?","Yapar?m Bilirsin","48526562","3"
"Ed Sheeran","Shape of You","5908398479","1"
"Ed Sheeran","Thinking out Loud","3547155867","2"
"Ed Sheeran","Perfect","3361086287","3"
"Eddie Santiago","Hasta Aquí Te Fui Fiel","27787817","1"
"Eddie Santiago","Me Fallaste","8765803","2"
"Eddie Santiago","Todo Empezo","4529849","3"
"Eden Muñoz","Chale","296597400","1"
"Eden Muñoz","Me Hace Tanto Bien","35057598","2"
"Eden Muñoz","Creo en Ti","22930795","3"
"Edgardo Nuñez","Billete Grande (En Vivo)","138819157","1"
"Edgardo Nuñez","El Ruddy","51906924","2"
"Edgardo Nuñez","Te Amo","20168625","3"
"Eduardo Costa","Ainda Tô Aí - Ao Vivo","243978547","1"
"Eduardo Costa","Olha Ela Aí","226431683","2"
"Eduardo Costa","Separação - Ao Vivo","138097560","3"
"Edvard Grieg","Piano Concerto in A Minor, Op. 16: I. Allegro molto moderato","3398660","1"
"Edvard Grieg","Piano Concerto in A Minor, Op. 16: I. Allegro molto moderato","3398660","1"
"Edvard Grieg","Lyric Pieces, Book 1, Op. 12: Arietta","479077","2"
"Edvard Grieg","Lyric Pieces Book I, Op. 12: No. 1 Arietta","479077","2"
"Edvard Grieg","Lyrical Pieces, Op. 12 (Excerpts): No. 1, Arietta","479077","2"
"Edvard Grieg","Lyric Pieces, Book 1, Op. 12: I. Arietta","479077","2"
"Edvard Grieg","Lyric Pieces, Book 5, Op. 54: Nocturne","207635","3"
"Eiffel 65","Blue KNY Factory Remix - KNY Factory Remix","395283678","1"
"Eiffel 65","Blue (Da Ba Dee) - Gabry Ponte Video Edit","277406251","2"
"Eiffel 65","Blue (Da Ba Dee) - Gabry Ponte Ice Pop Radio","277406251","2"
"Eiffel 65","Heaven","10299170","3"
"Eiffel 65","Too Much Of Heaven - Original Radio Edit","10299170","3"
"El Alfa","La Romana","310246153","1"
"El Alfa","BEBÉ","282322255","2"
"El Alfa","FULANITO","280624500","3"
"El Barrio","Las Costuras Del Alma","15771239","1"
"El Barrio","Pa' Madrid","12972173","2"
"El Barrio","Orgullo","1598549","3"
"El Canto Del Loco","Contigo (feat. Natalia Lafourcade)","81609711","1"
"El Canto Del Loco","Puede Ser (with Amaia Montero)","29867437","2"
"El Canto Del Loco","Peter Pan","29779477","3"
"El Cuarteto De Nos","Ya No Sé Que Hacer Conmigo","92490753","1"
"El Cuarteto De Nos","El hijo de Hernández","26308340","2"
"El Cuarteto De Nos","No llora","22932644","3"
"El Fantasma","Cabrón y Vago - En Vivo","365169120","1"
"El Fantasma","Palabra de Hombre","287431531","2"
"El Fantasma","En El Camino","212815302","3"
"El Komander","Soy De Rancho","130258826","1"
"El Komander","El Taquicardio","94041394","2"
"El Komander","Borracho Y Escandaloso","63124413","3"
"Eladio Carrion","Sigue Bailandome","180138758","1"
"Eladio Carrion","Eladio Carrion: Bzrp Music Sessions, Vol. 40","166584675","2"
"Eladio Carrion","Hola Como Vas","24702367","3"
"Electric Light Orchestra","Last Train to London","113473579","1"
"Electric Light Orchestra","Mr. Blue Sky","56498415","2"
"Electric Light Orchestra","Don't Bring Me Down","20203246","3"
"Elefante","Durmiendo con la Luna","109256406","1"
"Elefante","Así Es la Vida","54235611","2"
"Elefante","De la Noche a la Mañana","46548748","3"
"Elevation Worship","Jireh (feat. Chandler Moore & Naomi Raine)","130039992","1"
"Elevation Worship","Do It Again","117954179","2"
"Elevation Worship","O Come to the Altar (Live)","73415537","3"
"Ella Fitzgerald","Summertime","15635100","1"
"Ella Fitzgerald","Cheek To Cheek","1666028","2"
"Ella Fitzgerald","Frosty The Snowman","1284434","3"
"Ella Henderson","Ghost","109803512","1"
"Ella Henderson","Hurricane","20892803","2"
"Ella Henderson","Crazy What Love Can Do","19985333","3"
"Elley Duhé","Happy Now","104102932","1"
"Elley Duhé","MIDDLE OF THE NIGHT","62381578","2"
"Elley Duhé","Bad Memories (feat. Elley Duhé & FAST BOY)","25424916","3"
"Elley Duhé","Bad Memories ft Elley Duhe and FAST BOY - David Guetta Remix","25424916","3"
"Ellie Goulding","Love Me Like You Do","2283748076","1"
"Ellie Goulding","Burn","1528479165","2"
"Ellie Goulding","I Need Your Love (feat. Ellie Goulding)","827725362","3"
"Elliott Smith","Between the Bars","8554080","1"
"Elliott Smith","Son Of Sam","3265280","2"
"Elliott Smith","Waltz #2 (XO)","1702693","3"
"Elton John","Cold Heart - PNAU Remix","396909270","1"
"Elton John","I'm Still Standing","170453554","2"
"Elton John","Tiny Dancer","155579484","3"
"Elvis Crespo","Suavemente","207684351","1"
"Elvis Crespo","Tu Sonrisa","153005049","2"
"Elvis Crespo","Píntame","25692304","3"
"Elvis Presley","Can't Help Falling in Love","363854960","1"
"Elvis Presley","Jailhouse Rock","242588704","2"
"Elvis Presley","Blue Christmas","46348788","3"
"Em Beihold","Numb Little Bug","22787552","1"
"Em Beihold","Until I Found You (with Em Beihold) - Em Beihold Version","3628930","2"
"Em Beihold","Numb Little Bug - Piano Version","2429868","3"
"Eminem","Love The Way You Lie","2539156924","1"
"Eminem","Not Afraid","1727241246","2"
"Eminem","Without Me","1590485349","3"
"Emis Killa","Parole di ghiaccio","56663753","1"
"Emis Killa","Maracanã","48459215","2"
"Emis Killa","Mon Fre - feat. Emis Killa","32039967","3"
"Emmanuel","Quiero Dormir Cansado","104861386","1"
"Emmanuel","La Chica De Humo - MTV Unplugged","81945669","2"
"Emmanuel","Todo Se Derrumbó Dentro de Mí","48596422","3"
"Empire of the Sun","Walking On A Dream","192733238","1"
"Empire of the Sun","We Are Mirage","119686325","2"
"Empire of the Sun","We Are The People","119686325","2"
"Empire of the Sun","Alive","101306823","3"
"Engenheiros Do Hawaii","Era um Garoto, Que Como Eu, Amava os Beatles e os Rolling Stones","15755794","1"
"Engenheiros Do Hawaii","Infinita Highway","13977940","2"
"Engenheiros Do Hawaii","Infinita Highway - Ao Vivo","7717243","3"
"ENHYPEN","Drunk-Dazed","99088923","1"
"ENHYPEN","FEVER","92195106","2"
"ENHYPEN","Given-Taken","70269375","3"
"Enigma Norteño","El Deportivo","14499938","1"
"Enigma Norteño","Quemándose Un Gallito (El Rambo)","12565831","2"
"Enigma Norteño","El De Los 20 - El Cachora","8911350","3"
"Ennio Morricone","Once Upon a Time in the West - Main Theme","33496456","1"
"Ennio Morricone","Nuovo Cinema Paradiso","28573747","2"
"Ennio Morricone","Once upon a time in America (Deborah's Theme)","14387823","3"
"Enrique Iglesias","Bailando - Spanish Version","3328780111","1"
"Enrique Iglesias","SUBEME LA RADIO (feat. Descemer Bueno & Zion & Lennox)","1447988752","2"
"Enrique Iglesias","El Perdedor","1238514121","3"
"Enya","Only Time","227541008","1"
"Enya","Caribbean Blue","60428588","2"
"Enya","Orinoco Flow","40696828","3"
"Eraserheads","Ang Huling El Bimbo","33757764","1"
"Eraserheads","With A Smile","18134197","2"
"Eraserheads","Pare Ko","13733264","3"
"Eric Church","Smoke A Little Smoke","71823177","1"
"Eric Church","Springsteen","66964344","2"
"Eric Church","Record Year","66370493","3"
"Eric Clapton","I Shot The Sheriff","130347119","1"
"Eric Clapton","Layla - Acoustic Live","112651672","2"
"Eric Clapton","Tears in Heaven","104623149","3"
"Eric Prydz","Call on Me","43490933","1"
"Eric Prydz","Call on Me - Radio Mix","43490933","1"
"Eric Prydz","Opus","39653477","2"
"Eric Prydz","Pjanoo - Club Mix","35342008","3"
"Erik Satie","Satie / Orch. Ducros: Gymnopédie No. 1","40003899","1"
"Erik Satie","Gymnopédie No. 1","40003899","1"
"Erik Satie","3 Gymnopédies: No. 1 Lent et douloureux","40003899","1"
"Erik Satie","Gnossienne No. 1","10545759","2"
"Erik Satie","Gnossienne: No. 1","10545759","2"
"Erik Satie","Gymnopédie No. 3","1678632","3"
"Ernia","Superclassico","51440264","1"
"Ernia","Ferma A Guardare (feat. Pinguini Tattici Nucleari)","23039415","2"
"Ernia","10 RAGAZZE (con ERNIA)","16523302","3"
"Eros Ramazzotti","Otra Como Tu","137751556","1"
"Eros Ramazzotti","La Cosa Mas Bella","122256577","2"
"Eros Ramazzotti","Più bella cosa","122256577","2"
"Eros Ramazzotti","Cosas De La Vida","103002415","3"
"Erykah Badu","On & On","58154557","1"
"Erykah Badu","Didn't Cha Know","37624584","2"
"Erykah Badu","Bag Lady","32628304","3"
"Eslabon Armado","Con Tus Besos","153325775","1"
"Eslabon Armado","Jugaste y Sufrí","153294455","2"
"Eslabon Armado","La Curiosidad","15358575","3"
"Espinoza Paz","Que Te Lo Crea Tu Madre","169613377","1"
"Espinoza Paz","Soltero Feliz","162235193","2"
"Espinoza Paz","Olvido Intencional","85379374","3"
"Estelle","American Boy","211412840","1"
"Estelle","Come Over","12600343","2"
"Estelle","Freak","6217020","3"
"Estopa","Vino Tinto","53563009","1"
"Estopa","Como Camarón","39784123","2"
"Estopa","Por la Raja de Tu Falda","27970355","3"
"Etta James","At Last","54085718","1"
"Etta James","I'd Rather Go Blind","52854647","2"
"Etta James","I Just Want To Make Love To You - Single Version","13463068","3"
"Europe","The Final Countdown","1083817995","1"
"Europe","The Final Countdown","1083817995","1"
"Europe","Carrie","200971158","2"
"Europe","Open Your Heart","47432201","3"
"Eurythmics","Sweet Dreams (Are Made of This)","763534682","1"
"Eurythmics","Sweet Dreams (Are Made of This) - Remastered","763534682","1"
"Eurythmics","Here Comes the Rain Again - Remastered Version","58403037","2"
"Eurythmics","There Must Be an Angel (Playing With My Heart)","37150247","3"
"Evanescence","Bring Me To Life","1138778389","1"
"Evanescence","My Immortal","889118434","2"
"Evanescence","Going Under","233135074","3"
"Eve","Let Me Blow Ya Mind","238741812","1"
"Eve","Gangsta Lovin'","65482742","2"
